pui,165,0,31,0
orez,130,28,3,0.4
ou,155,1.1,12.6,0
cartofi,77,17,2,2.2
ton,144,0,23.4,0
salata,15,2.9,1.4,1.6
rosii,22,4.8,1.1,1.2
castraveti,15,3.6,0.7,0.5
ceapa,40,9.3,1.1,1.7
ulei,884,0,0,0
sare,0,0,0,0
piper,251,64,10,25
brocoli,34,7,2.8,2.6
paine,265,49,9,2.7
morcov,41,10,0.9,2.8
spanac,23,3.6,2.9,2.2
ardei,20,4.6,0.9,1.7
usturoi,149,33,6.4,2.1
lapte,42,5,3.4,0
iaurt,59,4.7,3.5,0
branza,402,1.3,25,0
somon,208,0,22,0
peste,82,0,18,0
creveti,99,0.2,24,0
midii,86,3.7,11.9,0
ciuperci,22,3.3,3.1,1
nuca,654,13.7,15.2,6.7
migdale,579,21.7,21.2,12.5
avocado,160,8.5,2,6.7
banane,89,22.8,1.1,2.6
mere,52,13.8,0.3,2.4
portocale,47,11.8,0.9,2.4
struguri,69,18,0.6,0.9
capsuni,32,7.7,0.7,2
zmeura,52,11.9,1.2,6.5
afine,57,14.5,0.7,2.4
ciocolata,546,61,4.9,7
miere,304,82.4,0.3,0.2
zahar,387,100,0,0
boia,282,54,12,34.9
oregano,69,9,9,42.5
busuioc,23,2.7,3.2,1.6
rozmarin,131,21,3.3,14.1
salvie,315,61,10.6,40.3
tarhon,295,50,23,33.9
menta,44,8.4,3.8,8
marar,305,55,15.8,39.8 
